                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95084,                 2.2277,                 1.3089,                0.44751,                0.61411,                0.50149,                 0.3343,                 1.0829,                 2.0302,                 1.4177,             0.00016319,             0.00016319,             0.00016319
                      2,                0.80333,                 1.1002,                  1.166,                0.51469,                0.59582,                0.56488,                0.37276,                 1.1344,                 1.5542,                 1.4732,              0.0003168,              0.0003168,              0.0003168
                      3,                0.76751,                0.92358,                 1.1394,                0.65571,                0.52159,                0.56244,                0.37667,                  1.154,                 1.6647,                 1.5478,              0.0004572,              0.0004572,              0.0004572
                      4,                0.77132,                0.89777,                 1.1422,                0.61811,                0.54873,                 0.5747,                0.37957,                  1.174,                 1.5533,                 1.5832,              0.0004406,              0.0004406,              0.0004406
                      5,                0.72577,                0.81065,                 1.1105,                0.59518,                 0.6286,                0.63286,                 0.4339,                  1.114,                 1.3017,                 1.4702,              0.0004208,              0.0004208,              0.0004208
                      6,                0.69813,                0.74201,                 1.0924,                0.60341,                0.64564,                0.64753,                0.45266,                 1.0409,                 1.2831,                 1.4408,               0.000401,               0.000401,               0.000401
                      7,                0.66556,                0.66631,                 1.0646,                0.66013,                 0.6634,                 0.6666,                0.46145,                 1.0855,                 1.1805,                 1.4848,              0.0003812,              0.0003812,              0.0003812
                      8,                0.64348,                0.63521,                 1.0536,                0.70838,                0.63608,                0.67958,                0.47328,                 1.0403,                 1.2406,                 1.3955,              0.0003614,              0.0003614,              0.0003614
                      9,                0.62095,                0.60478,                 1.0379,                0.67057,                0.65151,                0.66995,                0.48917,                 1.0122,                 1.2036,                 1.3956,              0.0003416,              0.0003416,              0.0003416
                     10,                0.59201,                0.57286,                 1.0229,                0.65545,                0.61629,                0.62814,                0.44993,                 1.0684,                 1.3951,                 1.4119,              0.0003218,              0.0003218,              0.0003218
                     11,                0.57424,                 0.5317,                 1.0128,                0.72035,                0.72704,                0.73348,                0.53639,                 1.0034,                 1.0716,                 1.3726,               0.000302,               0.000302,               0.000302
                     12,                0.55373,                0.50299,                0.99534,                0.70467,                0.72352,                0.72678,                0.53075,                0.96023,                 1.0641,                 1.3599,              0.0002822,              0.0002822,              0.0002822
                     13,                 0.5416,                0.49728,                0.99298,                0.72577,                0.70152,                0.71774,                 0.5321,                0.95893,                 1.1419,                 1.3431,              0.0002624,              0.0002624,              0.0002624
                     14,                 0.5165,                0.46101,                0.97931,                0.73233,                0.69038,                0.72693,                0.52991,                0.97828,                 1.1233,                 1.3714,              0.0002426,              0.0002426,              0.0002426
                     15,                0.50713,                0.44893,                0.97446,                0.72706,                0.67607,                0.70835,                0.52825,                0.93184,                 1.1613,                 1.3181,              0.0002228,              0.0002228,              0.0002228
                     16,                0.46665,                 0.3949,                0.95004,                0.71411,                0.66991,                0.71098,                0.52914,                 0.9503,                 1.1697,                 1.3384,               0.000203,               0.000203,               0.000203
                     17,                0.44977,                0.36938,                0.93298,                0.72186,                0.71989,                0.71071,                0.52148,                0.94986,                  1.169,                  1.371,              0.0001832,              0.0001832,              0.0001832
                     18,                0.42383,                0.34708,                0.91875,                0.74385,                0.73471,                0.75936,                0.56689,                0.94221,                 1.0098,                 1.3575,              0.0001634,              0.0001634,              0.0001634
                     19,                0.40743,                0.32824,                0.91487,                0.76988,                0.70886,                0.74665,                 0.5686,                0.91959,                  1.101,                 1.3355,              0.0001436,              0.0001436,              0.0001436
                     20,                0.37558,                0.30188,                0.89242,                0.76281,                0.75629,                 0.7749,                0.58679,                0.90156,                 1.0175,                 1.3317,              0.0001238,              0.0001238,              0.0001238
                     21,                0.36535,                0.28844,                0.89013,                0.74761,                0.72683,                0.75192,                0.57198,                0.90609,                 1.1045,                  1.337,               0.000104,               0.000104,               0.000104
                     22,                0.34265,                0.26842,                0.87529,                0.78377,                0.74178,                0.76091,                0.58131,                0.90112,                  1.041,                 1.3359,               8.42e-05,               8.42e-05,               8.42e-05
                     23,                0.32678,                0.26002,                0.86999,                 0.7523,                0.73228,                0.75998,                0.58556,                0.90733,                 1.0852,                 1.3432,               6.44e-05,               6.44e-05,               6.44e-05
                     24,                0.31298,                0.24895,                0.86648,                0.77069,                0.72546,                0.75894,                0.59419,                0.87496,                 1.1173,                 1.3088,               4.46e-05,               4.46e-05,               4.46e-05
                     25,                0.30244,                0.24479,                0.86546,                0.79625,                0.70538,                0.76494,                0.60009,                0.87203,                 1.0928,                  1.313,               2.48e-05,               2.48e-05,               2.48e-05
